Word,Emotion,Figurative,Physical,Emotion_sticky,Figurative_sticky,Physical_sticky
"day,",,,,,,
and,,,,,,
the,,,,,,
grass,,,1,,,
rippled,,,,,,
under,,,,,,
their,,,,,,
feet,,,1,,,
as,,,,,,
they,,,,,,
marched,,,,,,
down,,,,,,
the,,,,,,
sloping,,,,,,
lawns,,,1,,,
toward,,,,,,
a,,,,,,
"smooth,",,,,,,
flat,,,,,,
lawn,,,1,,,
on,,,,,,
the,,,,,,
opposite,,,,,,
side,,,,,,
of,,,,,,
the,,,,,,
grounds,,,1,,,
to,,,,,,
the,,,,,,
forbidden,,,1,,,
"forest,",,,1,,,
whose,,,,,,
trees,,,1,,,
were,,,,,,
swaying,,,,,,
darkly,,1,,,,
in,,,,,,
the,,,,,,
distance.,,,,,,
,,,,,,
The,,,,,,
Slytherins,,,,,,
were,,,,,,
already,,,,,,
"there,",,,,,,
and,,,,,,
so,,,,,,
were,,,,,,
twenty,,,,,,
broomsticks,,,1,,,
lying,,,,,,
in,,,,,,
neat,,,,,,
lines,,,,,,
on,,,,,,
the,,,,,,
ground.,,,1,,,
Harry,,,1,,,
had,,,,,,
heard,,,,,,
Fred,,,1,,,
and,,,,,,
George,,,1,,,
Weasley,,,1,,,
complain,1,,,,,
about,,,,,,
the,,,,,,
school,,,,,,
"brooms,",,,1,,,
saying,,,,,,
that,,,,,,
some,,,,,,
of,,,,,,
them,,,,,,
started,,,,,,
to,,,,,,
vibrate,,,,,,
if,,,,,,
you,,,,,,
flew,,,,,,
too,,,,,,
"high,",,,,,,
or,,,,,,
always,,,,,,
flew,,,,,,
slightly,,,,,,
to,,,,,,
the,,,,,,
left.,,,,,,
,,,,,,
Their,,,,,,
"teacher,",,,,,,
Madam,,,1,,,
"Hooch,",,,1,,,
arrived.,,,,,,
She,,,,,,
had,,,,,,
"short,",,,,,,
gray,,,,,,
"hair,",,,1,,,
and,,,,,,
yellow,,,,,,
eyes,,,1,,,
like,,1,,,,
a,,1,,,,
hawk.,,1,1,,,
,,,,,,
"""Well,",,,,,,
what,,,,,,
are,,,,,,
you,,,,,,
all,,,,,,
waiting,,,,,,
"for?""",,,,,,
she,,,,,,
barked.,1,1,,,,
"""Everyone",,,,,,
stand,,,,,,
by,,,,,,
a,,,,,,
broomstick.,,,1,,,
Come,,,,,,
"on,",,,,,,
hurry,,,,,,
"up.""",,,,,,
,,,,,,
Harry,,,1,,,
glanced,,,,,,
down,,,,,,
at,,,,,,
his,,,,,,
broom.,,,1,,,
It,,,,,,
was,,,,,,
old,,,,,,
and,,,,,,
some,,,,,,
of,,,,,,
the,,,,,,
twigs,,,1,,,
stuck,,,,,,
out,,,,,,
at,,,,,,
odd,,,,,,
angles.,,,,,,
,,,,,,
"""Stick",,,,,,
out,,,,,,
your,,,,,,
right,,,,,,
hand,,,,,,
over,,,,,,
your,,,,,,
"broom,""",,,1,,,
called,,,,,,
Madam,,,1,,,
Hooch,,,1,,,
at,,,,,,
the,,,,,,
"front,",,,,,,
"""and",,,,,,
say,,,,,,
"'Up!'""",,,,,,
,,,,,,
"""UP!""",,,,,,
everyone,,,,,,
shouted.,,,,,,
,,,,,,
Harry's,,,,,,
broom,,,1,,,
jumped,,1,,,,
into,,,,,,
his,,,,,,
hand,,,,,,
at,,,,,,
"once,",,,,,,
but,,,,,,
it,,,,,,
was,,,,,,
one,,,,,,
of,,,,,,
the,,,,,,
few,,,,,,
that,,,,,,
did.,,,,,,
Hermione,,,1,,,
Granger's,,,1,,,
had,,,,,,
simply,,,,,,
rolled,,1,,,,
over,,1,,,,
on,,,,,,
the,,,,,,
"ground,",,,,,,
and,,,,,,
Neville's,,,1,,,
hadn't,,,,,,
moved,,,,,,
at,,,,,,
all.,,,,,,
Perhaps,,,,,,
"brooms,",,,1,,,
like,,1,,,,
"horses,",,1,1,,,
could,,,,,,
tell,,,,,,
when,,,,,,
you,,,,,,
were,,,,,,
"afraid,",,,,,,
thought,,,,,,
Harry;,,,,,,
there,,,,,,
was,,,,,,
a,,,,,,
quaver,1,,,,,
